TENANTID,METRICSUMMARYSEQ,PIPELINERUNSEQ,STAGETYPESEQ,ISACTIVE,STARTTIME,STOPTIME,STATUS,CONTROLLERHOST,INITIALIZERTIME,FINALIZERTIME,REMOVEDATE,ISPOSTED
0001,21110623253299354,20547673299877891,21673573206720543,1,2018-09-27 16:39:37.176000000,2018-09-27 16:39:37.368000000,Successful,,,,2200-01-01 00:00:00.000000000,0
0001,21110623253299355,20547673299877891,21673573206720514,1,2018-09-27 16:39:37.593000000,2018-09-27 16:39:42.009000000,Successful,,,,2200-01-01 00:00:00.000000000,0
0001,21110623253299356,20547673299877891,21673573206720542,1,2018-09-27 16:39:42.234000000,2018-09-27 16:39:42.418000000,Successful,,,,2200-01-01 00:00:00.000000000,0
0001,21110623253299357,20547673299877891,21673573206720515,0,2018-09-27 16:39:43.147000000,2018-09-27 16:39:43.495000000,Successful,,,,2018-09-28 04:57:40.947000000,0
0001,21110623253299358,20547673299877891,21673573206720541,1,2018-09-27 16:39:45.006000000,2018-09-27 16:39:45.200000000,Successful,,,,2200-01-01 00:00:00.000000000,0
0001,21110623253299359,20547673299877891,21673573206720538,1,2018-09-27 16:39:45.825000000,2018-09-27 16:39:46.007000000,Successful,,,,2200-01-01 00:00:00.000000000,0
0001,21110623253299360,20547673299877891,21673573206720516,0,2018-09-27 16:39:46.734000000,2018-09-27 16:39:49.023000000,Successful,,,,2018-09-28 04:57:40.947000000,0
0001,21110623253299361,20547673299877891,21673573206720561,1,2018-09-27 16:39:49.233000000,2018-09-27 16:39:49.474000000,Successful,,,,2200-01-01 00:00:00.000000000,0
0001,21110623253299362,20547673299877891,21673573206720562,1,2018-09-27 16:39:50.382000000,2018-09-27 16:39:50.607000000,Successful,,,,2200-01-01 00:00:00.000000000,0
0001,21110623253299363,20547673299877891,21673573206720547,1,2018-09-27 16:39:51.516000000,2018-09-27 16:39:51.738000000,Successful,,,,2200-01-01 00:00:00.000000000,0
0001,21110623253299364,20547673299877891,21673573206720517,0,2018-09-27 16:39:52.361000000,2018-09-27 16:39:58.714000000,Successful,,,,2018-09-28 04:57:40.947000000,0
0001,21110623253299365,20547673299877891,21673573206720551,1,2018-09-27 16:39:59.437000000,2018-09-27 16:39:59.758000000,Successful,,,,2200-01-01 00:00:00.000000000,0
0001,21110623253299366,20547673299877891,21673573206720518,0,2018-09-27 16:40:01.398000000,2018-09-27 16:40:01.743000000,Successful,,,,2018-09-28 04:57:40.947000000,0
